"Name","Context","Quote"
"Elon Musk","Discussing the importance of aiming high and taking risks, at a commencement speech","When something is important enough, you do it even if the odds are not in your favor."
"Elon Musk","Speaking about the potential of renewable energy, during a product launch at Tesla","The point of all this was, and remains, accelerating the advent of sustainable energy."
"Elon Musk","Discussing failures and iterative design process in SpaceX","There's a silly notion that failure's not an option at NASA. Failure is an option here. If things are not failing, you are not innovating enough."
"Elon Musk","Elucidating his vision for Mars colonization during a SpaceX press conference","You want to wake up in the morning and think the future is going to be great - and that’s what being a spacefaring civilization is all about."
"Elon Musk","Explaining his belief in human potential and the need for multiplanetary existence at a technology conference","I'm increasingly inclined to think there should be some regulatory oversight at the national and international level, just to ensure that we don't do something very foolish. With artificial intelligence, we are summoning the demon."
"Elon Musk","Commenting on Tesla's mission in a blog post","Tesla's mission is to accelerate the advent of sustainable transport by bringing compelling mass market electric cars to market as soon as possible."
"Elon Musk","During an interview on his ambitious goals","If something is important enough, even if the odds are stacked against you, you should still do it."
"Elon Musk","In an interview about innovation","Some people don't like change, but you need to embrace change if the alternative is disaster."
"Elon Musk","During an interview on failure","Failure is an option here. If things are not failing, you are not innovating enough."
"Elon Musk","Expressing his belief in the future during an interview","I'm not trying to be anyone's savior. I just try to think about the future and not be sad."
"Elon Musk","During a press conference on the success of Falcon Heavy","I had this image of just a giant explosion on the pad, a wheel bouncing down the road and the Tesla logo landing somewhere."
"Elon Musk","In a tweet about working hours","Work like hell. I mean you just have to put in 80 to 100 hour weeks every week."
"Elon Musk","During a TED talk about SpaceX's reusable rockets","It's kind of a really crazy idea, but it's technologically possible."
"Elon Musk","Discussing his reading habits in an interview","I was raised by books. Books, and then my parents."
"Elon Musk","During an interview about perseverance","When you struggle with a problem, that's when you understand it."
"Elon Musk","Speaking about self-driving cars","In about two years, the car will be able to go from your garage at home to your work without you touching anything. You could sleep the entire trip if you wanted."
"Elon Musk","Discussing AI at a conference","I think AI will potentially be a very useful tool that improves our civilization."
"Elon Musk","Discussing education in an interview","You don't need college to learn stuff, everything is available basically for free. You can learn anything you want for free."
"Elon Musk","In a tweet about productivity","Walk out of a meeting or drop off a call as soon as it is obvious you aren't adding value."
"Elon Musk","In a tweet about feedback","Constantly seek criticism. A well thought out critique of whatever you're doing is as valuable as gold."
"Elon Musk","In an interview about humanity","The future of humanity will fundamentally bifurcate along the lines of either single-planet species or multi-planet species."
"Elon Musk","Discussing risk in a TED talk","There needs to be things that inspire you, that make you glad to wake up in the morning and be part of humanity."
"Elon Musk","Discussing innovation at a conference","The first step is to establish that something is possible; then probability will occur."
"Elon Musk","Speaking about company culture","Brand is just a perception, and perception will match reality over time."
"Elon Musk","On SpaceX's plans","We're going to make it happen. As God is my bloody witness, I'm hell-bent on making it work."
"Elon Musk","Discussing his approach to innovation at an industry conference","Persistence is very important. You should not give up unless you are forced to give up."
"Elon Musk","Speaking about the potential of AI during a podcast interview","AI is a rare case where I think we need to be proactive in regulation instead of reactive."
"Elon Musk","In a commencement speech about dreaming big","I think it's possible for ordinary people to choose to be extraordinary."
"Elon Musk","During a Q&A session on climate change","We're running the most dangerous experiment in history right now, which is to see how much carbon dioxide the atmosphere... can handle before there is an environmental catastrophe."
"Elon Musk","Speaking about the importance of perseverance during a TED talk","When something is important enough, you do it even if the odds are not in your favor."
"Elon Musk","Discussing his vision for sustainable energy in a keynote speech","We have this handy fusion reactor in the sky called the sun. You don't have to do anything; it just works. It shows up every day and produces ridiculous amounts of power."
"Elon Musk","During a SpaceX update on Mars colonization","Life can't just be about solving problems, there have to be things that are inspiring and exciting that make you glad to be alive."
"Elon Musk","Discussing his philosophy of life in an interview","Life is too short for long-term grudges."
"Elon Musk","Speaking about the importance of questioning the status quo during a conference","It's OK to have your eggs in one basket as long as you control what happens to that basket."
"Elon Musk","During a product presentation at Tesla","When Henry Ford made cheap, reliable cars, people said, 'Nah, what's wrong with a horse?'"
"Elon Musk","Speaking about his vision for Mars during a conference","I want to die on Mars, just not on impact."
"Elon Musk","Discussing his beliefs about humanity's future during a podcast","Fundamentally, the future is vastly more exciting and interesting if we're a space-faring species and a multi-planetary species than if we're not."
"Elon Musk","Speaking about technological progress during an interview","Any product that needs a manual to work is broken."
"Elon Musk","Discussing the pace of innovation in an interview","I think it matters whether someone has a good heart."
"Elon Musk","Discussing his beliefs about space exploration in a talk","There have to be reasons that you get up in the morning and you want to live. Why do you want to live? What's the point? What inspires you? What do you love about the future? If the future does not include being out there among the stars and being a multi-planet species, I find that incredibly depressing."
"Elon Musk","Speaking about his drive to innovate in an interview","I always have optimism, but I'm realistic. It was not with the expectation of great success that I started Tesla or SpaceX… It's just that I thought they were important enough to do anyway."
"Elon Musk","Speaking about the role of innovation in a keynote speech","Innovation comes from questioning the way things have always been done."
"Elon Musk","Discussing the potential of electric cars in an interview","Electric cars are not like some oddball thing. For sure, in the future, the majority of cars will be electric."
"Elon Musk","During a talk about his approach to problem-solving","People should pursue what they're passionate about. That will make them happier than pretty much anything else."
"Elon Musk","Discussing the importance of learning from mistakes during a conference","If you're not failing, you're not innovating enough."
